Code;Actie;Beleidsitem code;Algemene rekening;Investeringsenveloppe;Omschrijving budgetboekjaar;Bedrag (Bj+0);Bedrag (Bj+1);Bedrag (Bj+2);Bedrag (Bj+3);Bedrag (Bj+4);Bedrag (Bj+5)
BP2014_2023-5./1.1.1.2/0701-00/6143007/BESTUUR/CBS/IE-GEEN/U;1.1.1.2;0701-00;6143007;IE-GEEN;Publiciteit, advertenties & info;;250;250;250;250;250
BP2014_2023-5./1.1.1.3/0119-00/6143007/BESTUUR/CBS/IE-GEEN/U;1.1.1.3;0119-00;6143007;IE-GEEN;Publiciteit, advertenties & info;210000;210000;210000;210000;210000;210000
BP2014_2023-5./1.1.1.4/0119-00/6131002/BESTUUR/CBS/IE-GEEN/U;1.1.1.4;0119-00;6131002;IE-GEEN;Erelonen en vergoedingen consultancy;;20000;;;;
BP2014_2023-5./1.1.1.5/0703-00/6159999/BESTUUR/CBS/IE-GEEN/U;1.1.1.5;0703-00;6159999;IE-GEEN;Overige exploitatiekosten;1500;2500;2500;2500;2500;2500
BP2014_2023-5./1.1.1.5/0703-00/7010003/BESTUUR/CBS/IE-GEEN/O;1.1.1.5;0703-00;7010003;IE-GEEN;Ontvangsten pc-lessen;500;500;500;500;500;500
BP2014_2023-5./1.1.1.6/0703-00/6001000/BESTUUR/CBS/IE-GEEN/U;1.1.1.6;0703-00;6001000;IE-GEEN;Aankoop technisch materiaal;3500;3500;3500;3500;3500;3500
BP2014_2023-5./1.1.1.6/0703-00/7020999/BESTUUR/CBS/IE-GEEN/O;1.1.1.6;0703-00;7020999;IE-GEEN;Ontvangsten digitale uitleen;500;500;500;500;500;500
BP2014_2023-5./1.1.2.1/0160-00/6493000/BESTUUR/CBS/IE-GEEN/U;1.1.2.1;0160-00;6493000;IE-GEEN;Toelage Oña-jongeren;500;1000;500;500;500;500
BP2014_2023-5./1.1.2.1/0390-00/6493000/BESTUUR/CBS/IE-GEEN/U;1.1.2.1;0390-00;6493000;IE-GEEN;Toelage milieuraad;250;250;250;250;250;250
BP2014_2023-5./1.1.2.1/0500-00/6493000/BESTUUR/CBS/IE-GEEN/U;1.1.2.1;0500-00;6493000;IE-GEEN;Subsidie middenstandsraad;250;250;250;250;250;250
BP2014_2023-5./1.1.2.1/0520-00/6493000/BESTUUR/CBS/IE-GEEN/U;1.1.2.1;0520-00;6493000;IE-GEEN;"* Subsidie werkgroep ""Toerisme in Bierbeek""";0;;;;;
BP2014_2023-5./1.1.2.1/0530-00/6493000/BESTUUR/CBS/IE-GEEN/U;1.1.2.1;0530-00;6493000;IE-GEEN;* Subsidie landbouwraad;250;250;250;250;250;250
BP2014_2023-5./1.1.2.1/0709-00/6493000/BESTUUR/CBS/IE-GEEN/U;1.1.2.1;0709-00;6493000;IE-GEEN;* Toelage culturele raad;500;500;500;500;500;500
BP2014_2023-5./1.1.2.1/0729-00/6493000/BESTUUR/CBS/IE-GEEN/U;1.1.2.1;0729-00;6493000;IE-GEEN;Subsidie Gemeentelijke Erfgoed Raad;500;500;500;500;500;500
BP2014_2023-5./1.1.2.1/0740-00/6493000/BESTUUR/CBS/IE-GEEN/U;1.1.2.1;0740-00;6493000;IE-GEEN;Toelage sportraad;500;500;500;500;500;500
